Date,Open,High,Low,Close,Adj Close,Volume
2010-11-03,10838400.000000,11092800.000000,10593600.000000,10603200.000000,9324852.000000,0
2010-11-04,10305600.000000,10305600.000000,9585600.000000,9614400.000000,8455263.000000,1
2010-11-05,9595200.000000,9638400.000000,9278400.000000,9436800.000000,8299074.500000,0
2010-11-08,9465600.000000,9547200.000000,9235200.000000,9436800.000000,8299074.500000,0
2010-11-09,9364800.000000,9844800.000000,9364800.000000,9729600.000000,8556573.000000,0
2010-11-10,9763200.000000,10108800.000000,9720000.000000,9734400.000000,8560796.000000,0
2010-11-11,10473600.000000,10790400.000000,9988800.000000,10070400.000000,8856288.000000,1
2010-11-12,10209600.000000,10392000.000000,9614400.000000,10089600.000000,8873172.000000,0
2010-11-15,9825600.000000,10320000.000000,9811200.000000,10310400.000000,9067353.000000,0
2010-11-16,10584000.000000,10920000.000000,10272000.000000,10761600.000000,9464152.000000,0
2010-11-17,10800000.000000,10905600.000000,10406400.000000,10780800.000000,9481037.000000,0
2010-11-18,10464000.000000,10464000.000000,10041600.000000,10176000.000000,8949154.000000,0
2010-11-19,10248000.000000,10248000.000000,9604800.000000,9667200.000000,8501698.000000,0
2010-11-22,9667200.000000,9729600.000000,9302400.000000,9316800.000000,8193543.000000,0
2010-11-23,9681600.000000,9681600.000000,9379200.000000,9537600.000000,8387722.000000,0
2010-11-24,9364800.000000,9364800.000000,8740800.000000,8803200.000000,7741863.500000,0
2010-11-26,9000000.000000,9019200.000000,8832000.000000,8952000.000000,7872725.000000,0
2010-11-29,9081600.000000,9340800.000000,8961600.000000,9014400.000000,7927601.000000,0
2010-11-30,9360000.000000,9427200.000000,9216000.000000,9331200.000000,8206207.000000,0
2010-12-01,8884800.000000,8884800.000000,8409600.000000,8443200.000000,7425267.000000,0
2010-12-02,8419200.000000,8419200.000000,7944000.000000,7944000.000000,6986251.500000,0
2010-12-03,8131200.000000,8145600.000000,7800000.000000,7857600.000000,6910267.500000,0
